relay_id,vt_id,location,primary_kv,secondary_v,connection,burden_va,vt_defined,vt_enabled
RL-0001,VT-RL-0001-01,,,,,,false,false
RL-0002,VT1,BUS,13.8,115.0,Yg,100.0,true,true
