selectivity_id,function_id,upstream_device,downstream_device,element,coordination_margin
SEL-RL-0001-51P1-D-001,51P1,,RL-0003,Feeder_MF-01,0.3
SEL-RL-0002-51M1-U-001,51M1,RL-0001,,Feeder_MF-03B1,0.35
